Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,division,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,jornada
2005-09-21,Sociedad,Ath Madrid,3.0,2.0,H,0.0,2.0,A,1,21.0,14.0,9.0,6.0,16.0,25.0,7.0,4.0,2.0,3.0,0.0,0.0,05-06,4
2005-09-21,Sevilla,Cadiz,0.0,0.0,D,0.0,0.0,D,1,25.0,3.0,4.0,1.0,20.0,17.0,14.0,6.0,3.0,6.0,0.0,0.0,05-06,4
2005-09-21,Santander,Espanol,1.0,0.0,H,0.0,0.0,D,1,13.0,11.0,7.0,3.0,19.0,19.0,7.0,4.0,3.0,5.0,0.0,1.0,05-06,4
2005-09-21,La Coruna,Betis,1.0,1.0,D,1.0,1.0,D,1,17.0,11.0,6.0,3.0,21.0,19.0,5.0,1.0,5.0,5.0,0.0,0.0,05-06,4
2005-09-21,Getafe,Mallorca,1.0,1.0,D,1.0,0.0,H,1,16.0,12.0,5.0,3.0,24.0,17.0,3.0,4.0,3.0,2.0,0.0,0.0,05-06,4
2005-09-21,Barcelona,Valencia,2.0,2.0,D,1.0,0.0,H,1,10.0,5.0,5.0,4.0,30.0,25.0,7.0,0.0,3.0,2.0,0.0,0.0,05-06,4
2005-09-21,Malaga,Alaves,0.0,0.0,D,0.0,0.0,D,1,13.0,6.0,4.0,1.0,25.0,14.0,4.0,5.0,2.0,2.0,1.0,0.0,05-06,4
2005-09-22,Real Madrid,Ath Bilbao,3.0,1.0,H,0.0,1.0,A,1,16.0,21.0,9.0,5.0,19.0,20.0,6.0,4.0,1.0,5.0,1.0,0.0,05-06,4
2005-09-24,Zaragoza,La Coruna,1.0,1.0,D,1.0,1.0,D,1,15.0,16.0,7.0,5.0,22.0,15.0,8.0,7.0,2.0,1.0,0.0,0.0,05-06,5
2005-09-24,Valencia,Sociedad,2.0,1.0,H,1.0,0.0,H,1,11.0,11.0,8.0,4.0,20.0,12.0,5.0,8.0,2.0,1.0,0.0,0.0,05-06,5
